33680,Loris Facci,M,20.0,177.0,72.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Breaststroke,No Medal
33676,Andrea Facchin,M,25.0,182.0,79.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Canoeing,Canoeing Men's Kayak Singles, 500 metres
33667,Rexel Ryan Fabriga,M,22.0,160.0,60.0,Philippines,PHI,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Platform,No Medal
33664,Ludovic Fabregas,M,20.0,198.0,100.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
33659,Alexandre Alex Fbregas Carne,M,23.0,184.0,83.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,No Medal
33658,Thierry Fabre,M,30.0,184.0,100.0,France,FRA,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Heavyweight,No Medal
33657,Margaux Nicole Jeanne Aude Fabre,F,23.0,173.0,58.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,No Medal
33648,Josefa Fabola Almeida de Sousa Alves,F,33.0,184.0,70.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,No Medal
33646,Fbio Luiz de Jesus Magalhes,M,29.0,204.0,101.0,Brazil-1,BRA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
33638,Fabiana Marcelino Claudino,F,19.0,193.0,76.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,No Medal
33637,Fabiana da Silva Simes,F,19.0,161.0,56.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
33636,Marco Jhonfai Fabin de la Mora,M,23.0,172.0,69.0,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
33631,Alessandro Fabian,M,24.0,186.0,77.0,Italy,ITA,2012 Summer,2012,Summer,London,Triathlon,Triathlon Men's Olympic Distance,No Medal
33630,Fabiana Fabi Alvim de Oliveira,F,28.0,169.0,59.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
33621,Massimo Fabbrizi,M,34.0,177.0,110.0,Italy,ITA,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,Silver
33618,Thomas Fabbiano,M,27.0,173.0,70.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Singles,No Medal
33615,Orinoco J. Faamausili-Banse-Prince,M,18.0,184.0,83.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No Medal
33610,Joanne Nana Fa'avesi,F,24.0,168.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,No Medal
33609,Elama Fa'atonu,M,18.0,175.0,82.0,American Samoa,ASA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,No Medal
33608,Allan Fa'alava'au,M,22.0,170.0,88.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No Medal
33607,Hamid Ezzine,M,24.0,174.0,62.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 3,000 metres Steeplechase
33599,Mielis Emalis,M,17.0,181.0,85.0,Latvia,LAT,2008 Summer,2008,Summer,Beijing,Canoeing,Canoeing Men's Canadian Singles, 500 metres
33592,Imoh Ezekiel,M,22.0,171.0,80.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
33590,Joy Amechi Eze,F,20.0,165.0,64.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,No Medal
33589,Felicia Eze,F,29.0,165.0,60.0,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,No Medal
33588,Bautista Ezcurra,M,21.0,181.0,88.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No Medal
33587,Yelena Ezau,F,25.0,175.0,55.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,No Medal
33584,Zohra Ez Zahraoui,F,32.0,165.0,51.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,No Medal
33575,Rene Eykens,F,20.0,170.0,54.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,No Medal
33572,Pavel Pavlovich Eygel,M,26.0,178.0,81.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,Canoeing Men's Kayak Singles, Slalom
33559,Angeliki Exarkhou,F,22.0,177.0,64.0,Greece,GRE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Breaststroke,No Medal
33541,Jens Ewald,M,21.0,185.0,77.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,Canoeing Men's Kayak Singles, Slalom
33537,Nelson vora,M,20.0,183.0,76.0,Portugal,POR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump,No Medal
33532,Jaakko Tommi Kristian Evil,M,28.0,194.0,83.0,Finland,FIN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,No Medal
33531,milie vesque,F,23.0,163.0,49.0,France,FRA,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Air Rifle, 10 metres
33529,Hannah Every-Hall,F,34.0,165.0,57.0,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Lightweight Double Sculls,No Medal
33523,Georgina Emma Buchanan Evers-Swindell (-Earl),F,25.0,178.0,78.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Gold
33522,Caroline Frances Evers-Swindell (-Meyer),F,25.0,178.0,76.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Gold
33517,Floris Maarten Alphons Maria Evers,M,21.0,189.0,83.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Silver
33512,Antti Everi,M,26.0,185.0,130.0,Finland,FIN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Super-Heavyweight,No Medal
